Region,SettlementType,Year,TypeOfSpending,Amount(RSD),StructuralPercentage
South and East,Total,2010,Clothing and Footwear,1906.0,5.2
South and East,Total,2010,"Housing, Water, Energy, Gas, etc.",5322.0,14.6
South and East,Total,2010,Home Equipment and Maintenance,1881.0,5.1
South and East,Total,2010,Health,1372.0,3.8
South and East,Total,2010,Transport,3187.0,8.7
South and East,Total,2010,Communication,1362.0,3.7
South and East,Total,2010,Culture and Recreation,1463.0,4.0
South and East,Total,2010,Education,162.0,0.4
South and East,Total,2010,Hotels and Restaurants,675.0,1.8
South and East,Total,2010,Other Items and Services,1242.0,3.4
South and East,City,2010,Total,39320.0,100.0
South and East,City,2010,Food and Non-Alcoholic Beverages,16597.0,42.1
South and East,City,2010,"Alcohol, Tobacco and Narcotics",1641.0,4.2
South and East,City,2010,Clothing and Footwear,2178.0,5.5
South and East,City,2010,"Housing, Water, Energy, Gas, etc.",6119.0,15.6
South and East,City,2010,Home Equipment and Maintenance,1979.0,5.0
South and East,City,2010,Health,1326.0,3.4
South and East,City,2010,Transport,3453.0,8.8
South and East,City,2010,Communication,1646.0,4.2
South and East,City,2010,Culture and Recreation,1999.0,5.1
South and East,City,2010,Education,147.0,0.4
South and East,City,2010,Hotels and Restaurants,852.0,2.2
South and East,City,2010,Other Items and Services,1383.0,3.5
South and East,Rest,2010,Total,33832.0,100.0
South and East,Rest,2010,Food and Non-Alcoholic Beverages,16215.0,47.9
South and East,Rest,2010,"Alcohol, Tobacco and Narcotics",1548.0,4.6
South and East,Rest,2010,Clothing and Footwear,1635.0,4.8
South and East,Rest,2010,"Housing, Water, Energy, Gas, etc.",4528.0,13.4
South and East,Rest,2010,Home Equipment and Maintenance,1783.0,5.3
South and East,Rest,2010,Health,1417.0,4.2
South and East,Rest,2010,Transport,2922.0,8.6
South and East,Rest,2010,Communication,1079.0,3.2
South and East,Rest,2010,Culture and Recreation,928.0,2.7
South and East,Rest,2010,Education,177.0,0.5
South and East,Rest,2010,Hotels and Restaurants,498.0,1.5
South and East,Rest,2010,Other Items and Services,1102.0,3.3
State,Total,2011,Total,48179.0,100.0
State,Total,2011,Food and Non-Alcoholic Beverages,20376.0,42.2
State,Total,2011,"Alcohol, Tobacco and Narcotics",2114.0,4.4
State,Total,2011,Clothing and Footwear,2296.0,4.8
State,Total,2011,"Housing, Water, Energy, Gas, etc.",7625.0,15.8
State,Total,2011,Home Equipment and Maintenance,2081.0,4.3
State,Total,2011,Health,1894.0,3.9
State,Total,2011,Transport,4228.0,8.8
State,Total,2011,Communication,1912.0,4.0
State,Total,2011,Culture and Recreation,2072.0,4.3
State,Total,2011,Education,393.0,0.8
State,Total,2011,Hotels and Restaurants,940.0,2.0
State,Total,2011,Other Items and Services,2248.0,4.7
State,City,2011,Total,49757.0,100.0
State,City,2011,Food and Non-Alcoholic Beverages,20273.0,40.8
State,City,2011,"Alcohol, Tobacco and Narcotics",1925.0,3.9
State,City,2011,Clothing and Footwear,2396.0,4.8
State,City,2011,"Housing, Water, Energy, Gas, etc.",8035.0,16.1
State,City,2011,Home Equipment and Maintenance,2063.0,4.1
State,City,2011,Health,2048.0,4.1
State,City,2011,Transport,4214.0,8.5
State,City,2011,Communication,2186.0,4.4
State,City,2011,Culture and Recreation,2607.0,5.2
State,City,2011,Education,473.0,1.0
State,City,2011,Hotels and Restaurants,1076.0,2.2
State,City,2011,Other Items and Services,2461.0,4.9
State,Rest,2011,Total,45931.0,100.0
State,Rest,2011,Food and Non-Alcoholic Beverages,20533.0,44.8
State,Rest,2011,"Alcohol, Tobacco and Narcotics",2387.0,5.2
State,Rest,2011,Clothing and Footwear,2153.0,4.7
State,Rest,2011,"Housing, Water, Energy, Gas, etc.",7042.0,15.3
State,Rest,2011,Home Equipment and Maintenance,2107.0,4.6
State,Rest,2011,Health,1673.0,3.6
State,Rest,2011,Transport,4251.0,9.3
State,Rest,2011,Communication,1518.0,3.3
State,Rest,2011,Culture and Recreation,1303.0,2.8
State,Rest,2011,Education,279.0,0.6
State,Rest,2011,Hotels and Restaurants,743.0,1.6
State,Rest,2011,Other Items and Services,1942.0,4.2
Belgrade,Total,2011,Total,55498.0,100.0
Belgrade,Total,2011,Food and Non-Alcoholic Beverages,23459.0,42.3
Belgrade,Total,2011,"Alcohol, Tobacco and Narcotics",1972.0,3.6
Belgrade,Total,2011,Clothing and Footwear,2239.0,4.0
Belgrade,Total,2011,"Housing, Water, Energy, Gas, etc.",8530.0,15.4
Belgrade,Total,2011,Home Equipment and Maintenance,1891.0,3.4
Belgrade,Total,2011,Health,2714.0,4.9
Belgrade,Total,2011,Transport,4579.0,8.3
Belgrade,Total,2011,Communication,2349.0,4.2
Belgrade,Total,2011,Culture and Recreation,2900.0,5.2
Belgrade,Total,2011,Education,771.0,1.4
Belgrade,Total,2011,Hotels and Restaurants,1411.0,2.5
Belgrade,Total,2011,Other Items and Services,2683.0,4.8
Belgrade,City,2011,Total,55662.0,100.0
Belgrade,City,2011,Food and Non-Alcoholic Beverages,23481.0,42.1
Belgrade,City,2011,"Alcohol, Tobacco and Narcotics",1694.0,3.0
Belgrade,City,2011,Clothing and Footwear,2274.0,4.1
Belgrade,City,2011,"Housing, Water, Energy, Gas, etc.",8465.0,15.2
Belgrade,City,2011,Home Equipment and Maintenance,1822.0,3.3
Belgrade,City,2011,Health,2768.0,5.0
Belgrade,City,2011,Transport,4394.0,7.9
Belgrade,City,2011,Communication,2435.0,4.4
Belgrade,City,2011,Culture and Recreation,3171.0,5.7
Belgrade,City,2011,Education,873.0,1.6
Belgrade,City,2011,Hotels and Restaurants,1412.0,2.5
Belgrade,City,2011,Other Items and Services,2873.0,5.2
Belgrade,Rest,2011,Total,54648.0,100.0
Belgrade,Rest,2011,Food and Non-Alcoholic Beverages,23331.0,42.6
Belgrade,Rest,2011,"Alcohol, Tobacco and Narcotics",3363.0,6.2
Belgrade,Rest,2011,Clothing and Footwear,2064.0,3.8
Belgrade,Rest,2011,"Housing, Water, Energy, Gas, etc.",8852.0,16.1
Belgrade,Rest,2011,Home Equipment and Maintenance,2241.0,4.1
Belgrade,Rest,2011,Health,2441.0,4.5
Belgrade,Rest,2011,Transport,5510.0,10.1
Belgrade,Rest,2011,Communication,1919.0,3.5
Belgrade,Rest,2011,Culture and Recreation,1537.0,2.8
Belgrade,Rest,2011,Education,255.0,0.5
Belgrade,Rest,2011,Hotels and Restaurants,1405.0,2.6
Belgrade,Rest,2011,Other Items and Services,1730.0,3.2
Voyvodina/North,Total,2011,Total,50518.0,100.0
Voyvodina/North,Total,2011,Food and Non-Alcoholic Beverages,19007.0,37.5
Voyvodina/North,Total,2011,"Alcohol, Tobacco and Narcotics",2207.0,4.4
Voyvodina/North,Total,2011,Clothing and Footwear,2510.0,5.0
Voyvodina/North,Total,2011,"Housing, Water, Energy, Gas, etc.",9047.0,17.9
Voyvodina/North,Total,2011,Home Equipment and Maintenance,2403.0,4.8
Voyvodina/North,Total,2011,Health,2025.0,4.0
Voyvodina/North,Total,2011,Transport,5138.0,10.2
Voyvodina/North,Total,2011,Communication,2112.0,4.2
Voyvodina/North,Total,2011,Culture and Recreation,2391.0,4.7
Voyvodina/North,Total,2011,Education,334.0,0.7
Voyvodina/North,Total,2011,Hotels and Restaurants,809.0,1.6
Voyvodina/North,Total,2011,Other Items and Services,2535.0,5.0
Voyvodina/North,City,2011,Total,51491.0,100.0
Voyvodina/North,City,2011,Food and Non-Alcoholic Beverages,18786.0,36.5
Voyvodina/North,City,2011,"Alcohol, Tobacco and Narcotics",2077.0,4.0
Voyvodina/North,City,2011,Clothing and Footwear,2451.0,4.8
Voyvodina/North,City,2011,"Housing, Water, Energy, Gas, etc.",9482.0,18.4
Voyvodina/North,City,2011,Home Equipment and Maintenance,2289.0,4.4
Voyvodina/North,City,2011,Health,2135.0,4.1
Voyvodina/North,City,2011,Transport,5391.0,10.5
Voyvodina/North,City,2011,Communication,2270.0,4.4
Voyvodina/North,City,2011,Culture and Recreation,2810.0,5.5
Voyvodina/North,City,2011,Education,409.0,0.8
Voyvodina/North,City,2011,Hotels and Restaurants,812.0,1.6
Voyvodina/North,City,2011,Other Items and Services,2579.0,5.0
Voyvodina/North,Rest,2011,Total,49187.0,100.0
Voyvodina/North,Rest,2011,Food and Non-Alcoholic Beverages,19312.0,39.2
Voyvodina/North,Rest,2011,"Alcohol, Tobacco and Narcotics",2390.0,4.9
Voyvodina/North,Rest,2011,Clothing and Footwear,2592.0,5.3
Voyvodina/North,Rest,2011,"Housing, Water, Energy, Gas, etc.",8446.0,17.2
Voyvodina/North,Rest,2011,Home Equipment and Maintenance,2559.0,5.2
Voyvodina/North,Rest,2011,Health,1874.0,3.8
Voyvodina/North,Rest,2011,Transport,4791.0,9.7
Voyvodina/North,Rest,2011,Communication,1895.0,3.9
Voyvodina/North,Rest,2011,Culture and Recreation,1816.0,3.7
Voyvodina/North,Rest,2011,Education,232.0,0.5
Voyvodina/North,Rest,2011,Hotels and Restaurants,806.0,1.6
Voyvodina/North,Rest,2011,Other Items and Services,2474.0,5.0
Central and West,Total,2011,Total,47837.0,100.0
Central and West,Total,2011,Food and Non-Alcoholic Beverages,20237.0,42.2
Central and West,Total,2011,"Alcohol, Tobacco and Narcotics",2353.0,4.9
Central and West,Total,2011,Clothing and Footwear,2428.0,5.1
Central and West,Total,2011,"Housing, Water, Energy, Gas, etc.",7540.0,15.7
Central and West,Total,2011,Home Equipment and Maintenance,2081.0,4.4
Central and West,Total,2011,Health,1519.0,3.2
Central and West,Total,2011,Transport,4402.0,9.2
Central and West,Total,2011,Communication,1810.0,3.8
Central and West,Total,2011,Culture and Recreation,1861.0,3.9
Central and West,Total,2011,Education,362.0,0.8
Central and West,Total,2011,Hotels and Restaurants,898.0,1.9
Central and West,Total,2011,Other Items and Services,2346.0,4.9
Central and West,City,2011,Total,47188.0,100.0
Central and West,City,2011,Food and Non-Alcoholic Beverages,18503.0,39.2
Central and West,City,2011,"Alcohol, Tobacco and Narcotics",2160.0,4.6
Central and West,City,2011,Clothing and Footwear,2718.0,5.8
Central and West,City,2011,"Housing, Water, Energy, Gas, etc.",7727.0,16.4
Central and West,City,2011,Home Equipment and Maintenance,2161.0,4.6
Central and West,City,2011,Health,1472.0,3.1
Central and West,City,2011,Transport,3877.0,8.2
Central and West,City,2011,Communication,2176.0,4.6
Central and West,City,2011,Culture and Recreation,2460.0,5.2
Central and West,City,2011,Education,272.0,0.6
Central and West,City,2011,Hotels and Restaurants,1155.0,2.4
Central and West,City,2011,Other Items and Services,2507.0,5.3
Central and West,Rest,2011,Total,48416.0,100.0
Central and West,Rest,2011,Food and Non-Alcoholic Beverages,21777.0,45.0
Central and West,Rest,2011,"Alcohol, Tobacco and Narcotics",2528.0,5.2
Central and West,Rest,2011,Clothing and Footwear,2171.0,4.5
Central and West,Rest,2011,"Housing, Water, Energy, Gas, etc.",7373.0,15.2
Central and West,Rest,2011,Home Equipment and Maintenance,2009.0,4.1
Central and West,Rest,2011,Health,1561.0,3.2
Central and West,Rest,2011,Transport,4869.0,10.1
Central and West,Rest,2011,Communication,1484.0,3.1
Central and West,Rest,2011,Culture and Recreation,1329.0,2.7
Central and West,Rest,2011,Education,442.0,0.9
Central and West,Rest,2011,Hotels and Restaurants,669.0,1.4
Central and West,Rest,2011,Other Items and Services,2204.0,4.6
South and East,Total,2011,Total,38351.0,100.0
South and East,Total,2011,Food and Non-Alcoholic Beverages,19144.0,49.9
South and East,Total,2011,"Alcohol, Tobacco and Narcotics",1858.0,4.8
South and East,Total,2011,Clothing and Footwear,1930.0,5.0
South and East,Total,2011,"Housing, Water, Energy, Gas, etc.",5066.0,13.3
South and East,Total,2011,Home Equipment and Maintenance,1875.0,4.9
South and East,Total,2011,Health,1356.0,3.5
South and East,Total,2011,Transport,2545.0,6.6
South and East,Total,2011,Communication,1347.0,3.5
South and East,Total,2011,Culture and Recreation,1096.0,2.9
South and East,Total,2011,Education,124.0,0.3
South and East,Total,2011,Hotels and Restaurants,675.0,1.8
South and East,Total,2011,Other Items and Services,1335.0,3.5
South and East,City,2011,Total,40249.0,100.0
South and East,City,2011,Food and Non-Alcoholic Beverages,19010.0,47.1
South and East,City,2011,"Alcohol, Tobacco and Narcotics",1835.0,4.6
South and East,City,2011,Clothing and Footwear,2157.0,5.4
South and East,City,2011,"Housing, Water, Energy, Gas, etc.",5582.0,13.9
South and East,City,2011,Home Equipment and Maintenance,2035.0,5.1
South and East,City,2011,Health,1363.0,3.4
South and East,City,2011,Transport,2609.0,6.5
South and East,City,2011,Communication,1660.0,4.1
South and East,City,2011,Culture and Recreation,1534.0,3.8
South and East,City,2011,Education,119.0,0.3
South and East,City,2011,Hotels and Restaurants,799.0,2.0
South and East,City,2011,Other Items and Services,1546.0,3.8
South and East,Rest,2011,Total,36456.0,100.0
South and East,Rest,2011,Food and Non-Alcoholic Beverages,19276.0,52.8
South and East,Rest,2011,"Alcohol, Tobacco and Narcotics",1880.0,5.2
South and East,Rest,2011,Clothing and Footwear,1704.0,4.7
South and East,Rest,2011,"Housing, Water, Energy, Gas, etc.",4551.0,12.5
South and East,Rest,2011,Home Equipment and Maintenance,1716.0,4.7
South and East,Rest,2011,Health,1348.0,3.7
South and East,Rest,2011,Transport,2481.0,6.8
South and East,Rest,2011,Communication,1035.0,2.8
South and East,Rest,2011,Culture and Recreation,660.0,1.8
South and East,Rest,2011,Education,128.0,0.4
South and East,Rest,2011,Hotels and Restaurants,552.0,1.5
South and East,Rest,2011,Other Items and Services,1125.0,3.1
State,Total,2012,Total,56543.0,100.0
State,Total,2012,Food and Non-Alcoholic Beverages,21339.0,37.6
State,Total,2012,"Alcohol, Tobacco and Narcotics",2295.0,4.1
State,Total,2012,Clothing and Footwear,2944.0,5.2
State,Total,2012,"Housing, Water, Energy, Gas, etc.",9834.0,17.4
State,Total,2012,Home Equipment and Maintenance,2688.0,4.8
State,Total,2012,Health,2726.0,4.8
State,Total,2012,Transport,4978.0,8.8
State,Total,2012,Communication,2531.0,4.5
State,Total,2012,Culture and Recreation,2366.0,4.2
State,Total,2012,Education,539.0,1.0
State,Total,2012,Hotels and Restaurants,1272.0,2.2
State,Total,2012,Other Items and Services,3031.0,5.4
State,City,2012,Total,58435.0,100.0
State,City,2012,Food and Non-Alcoholic Beverages,21612.0,37.0
State,City,2012,"Alcohol, Tobacco and Narcotics",2058.0,3.5
State,City,2012,Clothing and Footwear,2886.0,4.9
State,City,2012,"Housing, Water, Energy, Gas, etc.",10443.0,17.9
State,City,2012,Home Equipment and Maintenance,2678.0,4.6
State,City,2012,Health,3044.0,5.2
State,City,2012,Transport,4698.0,8.0
State,City,2012,Communication,2769.0,4.7
State,City,2012,Culture and Recreation,2914.0,5.0
State,City,2012,Education,621.0,1.1
State,City,2012,Hotels and Restaurants,1392.0,2.4
State,City,2012,Other Items and Services,3320.0,5.7
State,Rest,2012,Total,53820.0,100.0
State,Rest,2012,Food and Non-Alcoholic Beverages,20947.0,39.0
State,Rest,2012,"Alcohol, Tobacco and Narcotics",2631.0,4.9
State,Rest,2012,Clothing and Footwear,3028.0,5.6
State,Rest,2012,"Housing, Water, Energy, Gas, etc.",8958.0,16.6
State,Rest,2012,Home Equipment and Maintenance,2703.0,5.0
State,Rest,2012,Health,2271.0,4.2
State,Rest,2012,Transport,5378.0,10.0
State,Rest,2012,Communication,2190.0,4.1
State,Rest,2012,Culture and Recreation,1578.0,2.9
State,Rest,2012,Education,421.0,0.8
State,Rest,2012,Hotels and Restaurants,1100.0,2.0
State,Rest,2012,Other Items and Services,2615.0,4.9
Belgrade,Total,2012,Total,68071.0,100.0
Belgrade,Total,2012,Food and Non-Alcoholic Beverages,26367.0,38.7
Belgrade,Total,2012,"Alcohol, Tobacco and Narcotics",2331.0,3.4
Belgrade,Total,2012,Clothing and Footwear,2563.0,3.8
Belgrade,Total,2012,"Housing, Water, Energy, Gas, etc.",11548.0,17.0
Belgrade,Total,2012,Home Equipment and Maintenance,2364.0,3.5
Belgrade,Total,2012,Health,3960.0,5.8
Belgrade,Total,2012,Transport,5380.0,7.9
Belgrade,Total,2012,Communication,3073.0,4.5
Belgrade,Total,2012,Culture and Recreation,3299.0,4.8
Belgrade,Total,2012,Education,853.0,1.3
Belgrade,Total,2012,Hotels and Restaurants,2114.0,3.1
Belgrade,Total,2012,Other Items and Services,4219.0,6.2
Belgrade,City,2012,Total,69265.0,100.0
Belgrade,City,2012,Food and Non-Alcoholic Beverages,26804.0,38.7
Belgrade,City,2012,"Alcohol, Tobacco and Narcotics",2154.0,3.1
Belgrade,City,2012,Clothing and Footwear,2542.0,3.7
Belgrade,City,2012,"Housing, Water, Energy, Gas, etc.",11726.0,16.9
Belgrade,City,2012,Home Equipment and Maintenance,2371.0,3.4
Belgrade,City,2012,Health,4256.0,6.1
Belgrade,City,2012,Transport,5249.0,7.6
Belgrade,City,2012,Communication,3154.0,4.6
Belgrade,City,2012,Culture and Recreation,3497.0,5.0
Belgrade,City,2012,Education,937.0,1.4
Belgrade,City,2012,Hotels and Restaurants,2140.0,3.1
Belgrade,City,2012,Other Items and Services,4435.0,6.4
Belgrade,Rest,2012,Total,62052.0,100.0
Belgrade,Rest,2012,Food and Non-Alcoholic Beverages,24169.0,38.8
Belgrade,Rest,2012,"Alcohol, Tobacco and Narcotics",3212.0,5.2
Belgrade,Rest,2012,Clothing and Footwear,2667.0,4.3
Belgrade,Rest,2012,"Housing, Water, Energy, Gas, etc.",10644.0,17.2
Belgrade,Rest,2012,Home Equipment and Maintenance,2328.0,3.8
Belgrade,Rest,2012,Health,2472.0,4.0
Belgrade,Rest,2012,Transport,6043.0,9.7
Belgrade,Rest,2012,Communication,2663.0,4.3
Belgrade,Rest,2012,Culture and Recreation,2303.0,3.7
Belgrade,Rest,2012,Education,431.0,0.7
Belgrade,Rest,2012,Hotels and Restaurants,1986.0,3.2
Belgrade,Rest,2012,Other Items and Services,3134.0,5.1
Voyvodina/North,Total,2012,Total,58802.0,100.0
Voyvodina/North,Total,2012,Food and Non-Alcoholic Beverages,20279.0,34.6
Voyvodina/North,Total,2012,"Alcohol, Tobacco and Narcotics",2179.0,3.7
Voyvodina/North,Total,2012,Clothing and Footwear,3580.0,6.1
Voyvodina/North,Total,2012,"Housing, Water, Energy, Gas, etc.",10608.0,18.0
Voyvodina/North,Total,2012,Home Equipment and Maintenance,3002.0,5.1
Voyvodina/North,Total,2012,Health,2758.0,4.7
Voyvodina/North,Total,2012,Transport,5694.0,9.7
Voyvodina/North,Total,2012,Communication,2829.0,4.8
Voyvodina/North,Total,2012,Culture and Recreation,2849.0,4.8
Voyvodina/North,Total,2012,Education,556.0,0.9
Voyvodina/North,Total,2012,Hotels and Restaurants,1102.0,1.9
Voyvodina/North,Total,2012,Other Items and Services,3366.0,5.7
Voyvodina/North,City,2012,Total,57540.0,100.0
Voyvodina/North,City,2012,Food and Non-Alcoholic Beverages,19904.0,34.5
Voyvodina/North,City,2012,"Alcohol, Tobacco and Narcotics",1850.0,3.2
Voyvodina/North,City,2012,Clothing and Footwear,3158.0,5.5
Voyvodina/North,City,2012,"Housing, Water, Energy, Gas, etc.",10594.0,18.4
Voyvodina/North,City,2012,Home Equipment and Maintenance,2916.0,5.1
Voyvodina/North,City,2012,Health,2868.0,5.0
Voyvodina/North,City,2012,Transport,5110.0,8.9
Voyvodina/North,City,2012,Communication,2914.0,5.1
Voyvodina/North,City,2012,Culture and Recreation,3341.0,5.8
Voyvodina/North,City,2012,Education,572.0,1.0
Voyvodina/North,City,2012,Hotels and Restaurants,984.0,1.7
Voyvodina/North,City,2012,Other Items and Services,3329.0,5.8
Voyvodina/North,Rest,2012,Total,60536.0,100.0
Voyvodina/North,Rest,2012,Food and Non-Alcoholic Beverages,20795.0,34.3
Voyvodina/North,Rest,2012,"Alcohol, Tobacco and Narcotics",2632.0,4.3
Voyvodina/North,Rest,2012,Clothing and Footwear,4160.0,6.9
Voyvodina/North,Rest,2012,"Housing, Water, Energy, Gas, etc.",10627.0,17.6
Voyvodina/North,Rest,2012,Home Equipment and Maintenance,3119.0,5.2
Voyvodina/North,Rest,2012,Health,2607.0,4.3
Voyvodina/North,Rest,2012,Transport,6495.0,10.7
Voyvodina/North,Rest,2012,Communication,2712.0,4.5
Voyvodina/North,Rest,2012,Culture and Recreation,2173.0,3.6
Voyvodina/North,Rest,2012,Education,535.0,0.9
Voyvodina/North,Rest,2012,Hotels and Restaurants,1264.0,2.1
Voyvodina/North,Rest,2012,Other Items and Services,3417.0,5.6
Central and West,Total,2012,Total,53951.0,100.0
Central and West,Total,2012,Food and Non-Alcoholic Beverages,19733.0,36.7
Central and West,Total,2012,"Alcohol, Tobacco and Narcotics",2635.0,4.9
Central and West,Total,2012,Clothing and Footwear,2939.0,5.4
Central and West,Total,2012,"Housing, Water, Energy, Gas, etc.",10303.0,19.1
Central and West,Total,2012,Home Equipment and Maintenance,2582.0,4.8
Central and West,Total,2012,Health,2278.0,4.2
Central and West,Total,2012,Transport,5007.0,9.3
Central and West,Total,2012,Communication,2377.0,4.4
Central and West,Total,2012,Culture and Recreation,1683.0,3.1
Central and West,Total,2012,Education,651.0,1.2
Central and West,Total,2012,Hotels and Restaurants,1098.0,2.0
Central and West,Total,2012,Other Items and Services,2665.0,4.9
Central and West,City,2012,Total,53269.0,100.0
Central and West,City,2012,Food and Non-Alcoholic Beverages,18259.0,34.4
Central and West,City,2012,"Alcohol, Tobacco and Narcotics",2364.0,4.4
Central and West,City,2012,Clothing and Footwear,3068.0,5.8
Central and West,City,2012,"Housing, Water, Energy, Gas, etc.",11047.0,20.7
Central and West,City,2012,Home Equipment and Maintenance,2675.0,5.0
Central and West,City,2012,Health,2279.0,4.3
Central and West,City,2012,Transport,4231.0,7.9
Central and West,City,2012,Communication,2609.0,4.9
Central and West,City,2012,Culture and Recreation,2091.0,3.9
Central and West,City,2012,Education,689.0,1.3
Central and West,City,2012,Hotels and Restaurants,1230.0,2.3
Central and West,City,2012,Other Items and Services,2727.0,5.1
Central and West,Rest,2012,Total,54562.0,100.0
Central and West,Rest,2012,Food and Non-Alcoholic Beverages,21049.0,38.5
Central and West,Rest,2012,"Alcohol, Tobacco and Narcotics",2875.0,5.3
Central and West,Rest,2012,Clothing and Footwear,2824.0,5.2
Central and West,Rest,2012,"Housing, Water, Energy, Gas, etc.",9640.0,17.7
Central and West,Rest,2012,Home Equipment and Maintenance,2499.0,4.6
Central and West,Rest,2012,Health,2278.0,4.2
Central and West,Rest,2012,Transport,5699.0,10.4
Central and West,Rest,2012,Communication,2170.0,4.0
Central and West,Rest,2012,Culture and Recreation,1319.0,2.4
Central and West,Rest,2012,Education,617.0,1.1
Central and West,Rest,2012,Hotels and Restaurants,982.0,1.8
Central and West,Rest,2012,Other Items and Services,2610.0,4.8
South and East,Total,2012,Total,45231.0,100.0
South and East,Total,2012,Food and Non-Alcoholic Beverages,19507.0,43.2
South and East,Total,2012,"Alcohol, Tobacco and Narcotics",1988.0,4.4
South and East,Total,2012,Clothing and Footwear,2548.0,5.6
South and East,Total,2012,"Housing, Water, Energy, Gas, etc.",6579.0,14.5
South and East,Total,2012,Home Equipment and Maintenance,2757.0,6.1
South and East,Total,2012,Health,1983.0,4.4
South and East,Total,2012,Transport,3648.0,8.1
South and East,Total,2012,Communication,1804.0,4.0
South and East,Total,2012,Culture and Recreation,1650.0,3.6
South and East,Total,2012,Education,65.0,0.1
South and East,Total,2012,Hotels and Restaurants,844.0,1.9
South and East,Total,2012,Other Items and Services,1858.0,4.1
South and East,City,2012,Total,47345.0,100.0
South and East,City,2012,Food and Non-Alcoholic Beverages,19123.0,40.4
South and East,City,2012,"Alcohol, Tobacco and Narcotics",1856.0,3.9
South and East,City,2012,Clothing and Footwear,2867.0,6.1
South and East,City,2012,"Housing, Water, Energy, Gas, etc.",7369.0,15.6
South and East,City,2012,Home Equipment and Maintenance,2859.0,6.0
South and East,City,2012,Health,2122.0,4.5
South and East,City,2012,Transport,3711.0,7.8
South and East,City,2012,Communication,2096.0,4.4
South and East,City,2012,Culture and Recreation,2257.0,4.8
South and East,City,2012,Education,80.0,0.2
South and East,City,2012,Hotels and Restaurants,902.0,1.9
South and East,City,2012,Other Items and Services,2103.0,4.4
South and East,Rest,2012,Total,43126.0,100.0
South and East,Rest,2012,Food and Non-Alcoholic Beverages,19892.0,46.2
South and East,Rest,2012,"Alcohol, Tobacco and Narcotics",2121.0,4.9
South and East,Rest,2012,Clothing and Footwear,2230.0,5.2
South and East,Rest,2012,"Housing, Water, Energy, Gas, etc.",5790.0,13.4
South and East,Rest,2012,Home Equipment and Maintenance,2655.0,6.2
South and East,Rest,2012,Health,1845.0,4.3
South and East,Rest,2012,Transport,3586.0,8.3
South and East,Rest,2012,Communication,1513.0,3.5
South and East,Rest,2012,Culture and Recreation,1046.0,2.4
South and East,Rest,2012,Education,49.0,0.1
South and East,Rest,2012,Hotels and Restaurants,786.0,1.8
South and East,Rest,2012,Other Items and Services,1613.0,3.7
State,Total,2013,Total,56013.0,100.0
State,Total,2013,Food and Non-Alcoholic Beverages,21929.0,39.0
State,Total,2013,"Alcohol, Tobacco and Narcotics",2352.0,4.2
State,Total,2013,Clothing and Footwear,2900.0,5.2
State,Total,2013,"Housing, Water, Energy, Gas, etc.",9474.0,16.9
State,Total,2013,Home Equipment and Maintenance,2573.0,4.6
State,Total,2013,Health,2393.0,4.3
State,Total,2013,Transport,4570.0,8.2
State,Total,2013,Communication,2566.0,4.6
State,Total,2013,Culture and Recreation,2619.0,4.7
State,Total,2013,Education,558.0,1.0
State,Total,2013,Hotels and Restaurants,1285.0,2.3
State,Total,2013,Other Items and Services,2794.0,5.0
State,City,2013,Total,58825.0,100.0
State,City,2013,Food and Non-Alcoholic Beverages,22181.0,37.6
State,City,2013,"Alcohol, Tobacco and Narcotics",2169.0,3.7
State,City,2013,Clothing and Footwear,3173.0,5.4
State,City,2013,"Housing, Water, Energy, Gas, etc.",10269.0,17.4
State,City,2013,Home Equipment and Maintenance,2637.0,4.5
State,City,2013,Health,2583.0,4.4
State,City,2013,Transport,4384.0,7.5
State,City,2013,Communication,2857.0,4.9
State,City,2013,Culture and Recreation,3231.0,5.5
State,City,2013,Education,752.0,1.3
State,City,2013,Hotels and Restaurants,1554.0,2.6
State,City,2013,Other Items and Services,3035.0,5.2
State,Rest,2013,Total,51439.0,100.0
State,Rest,2013,Food and Non-Alcoholic Beverages,21513.0,41.7
State,Rest,2013,"Alcohol, Tobacco and Narcotics",2653.0,5.2
State,Rest,2013,Clothing and Footwear,2457.0,4.8
State,Rest,2013,"Housing, Water, Energy, Gas, etc.",8184.0,15.8
State,Rest,2013,Home Equipment and Maintenance,2468.0,4.8
State,Rest,2013,Health,2084.0,4.1
State,Rest,2013,Transport,4873.0,9.5
State,Rest,2013,Communication,2092.0,4.1
State,Rest,2013,Culture and Recreation,1623.0,3.2
State,Rest,2013,Education,242.0,0.5
State,Rest,2013,Hotels and Restaurants,848.0,1.6
State,Rest,2013,Other Items and Services,2402.0,4.7
Belgrade,Total,2013,Total,69330.0,100.0
Belgrade,Total,2013,Food and Non-Alcoholic Beverages,26182.0,37.7
Belgrade,Total,2013,"Alcohol, Tobacco and Narcotics",2572.0,3.7
Belgrade,Total,2013,Clothing and Footwear,3668.0,5.3
Belgrade,Total,2013,"Housing, Water, Energy, Gas, etc.",11422.0,16.5
Belgrade,Total,2013,Home Equipment and Maintenance,2442.0,3.5
Belgrade,Total,2013,Health,3456.0,5.0
Belgrade,Total,2013,Transport,5250.0,7.6
Belgrade,Total,2013,Communication,3229.0,4.7
Belgrade,Total,2013,Culture and Recreation,3951.0,5.7
Belgrade,Total,2013,Education,917.0,1.3
Belgrade,Total,2013,Hotels and Restaurants,2374.0,3.4
